router,type,owner,chassis,pop,address,city,state,clli_code,isis_interface,adj_router,adj_router_type,adj_router_owner,adj_router_chassis,adj_interface,bandwidth_kbps
VAR1.BHM2,VAR,TWTC-JUNIPER,MX10003,BHM2,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae21.0,SCR2.BIR1,SCR,GBLX,MX10003,ae20.0,100000000
VAR2.BHM2,VAR,TWTC-JUNIPER,MX10003,BHM2,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae20.0,SCR1.BIR1,SCR,GBLX,MX10003,ae21.0,100000000
VAR2.BHM2,VAR,TWTC-JUNIPER,MX10003,BHM2,401 6TH ST S,BIRMINGHAM,ALABAMA,BRHOALOH,ae21.0,SCR2.BIR1,SCR,GBLX,MX10003,ae21.0,100000000
HSV1-AR1,AR,TWTC-JUNIPER,MX104,HSV1,994 EXPLORER BLVD NW,HUNTSVILLE,ALABAMA,HNVIALDY,ae20.0,SCR1.BIR1,SCR,GBLX,MX10003,ae30.0,10000000
HSV1-AR1,AR,TWTC-JUNIPER,MX104,HSV1,994 EXPLORER BLVD NW,HUNTSVILLE,ALABAMA,HNVIALDY,ae21.0,SDR2.NVL1,SDR,GBLX,7750-SR-12e,ae31,10000000
VAR1.HSV1,VAR,TWTC-JUNIPER,MX104,HSV1,994 EXPLORER BLVD NW,HUNTSVILLE,ALABAMA,HNVIALDY,ae22.0,SCR1.BIR1,SCR,GBLX,MX10003,ae22.0,10000000
VAR1.HSV1,VAR,TWTC-JUNIPER,MX104,HSV1,994 EXPLORER BLVD NW,HUNTSVILLE,ALABAMA,HNVIALDY,ae20.0,SDR2.NVL1,SDR,GBLX,7750-SR-12e,ae11,10000000
VAR3.HSV1,VAR,TWTC-JUNIPER,MX10003,HSV1,994 EXPLORER BLVD NW,HUNTSVILLE,ALABAMA,HNVIALDY,ae20.0,SDR1.NVL1,SDR,GBLX,7750-SR-12e,ae14,100000000
VAR3.HSV1,VAR,TWTC-JUNIPER,MX10003,HSV1,994 EXPLORER BLVD NW,HUNTSVILLE,ALABAMA,HNVIALDY,ae21.0,SDR3.ATL2,SDR,GBLX,MX10008,ae24.0,100000000
MOB1-AR2,AR,TWTC-JUNIPER,M120,MOB1,63 S ROYAL ST,MOBILE,ALABAMA,MOBLALFW,ae0.0,SCR1.MGM2,SCR,GBLX,7750-SR-12e,ae3,10000000
MOB1-AR2,AR,TWTC-JUNIPER,M120,MOB1,63 S ROYAL ST,MOBILE,ALABAMA,MOBLALFW,ae21.0,SCR1.NOR1,SCR,GBLX,MX10003,ae21.0,10000000
MOB3-AR1,AR,TWTC-JUNIPER,MX104,MOB3,50 N LAWRENCE ST,MOBILE,ALABAMA,MOBLALOW,ae22.0,SCR2.NOR1,SCR,GBLX,MX10003,ae22.0,10000000
MOB3-AR1,AR,TWTC-JUNIPER,MX104,MOB3,50 N LAWRENCE ST,MOBILE,ALABAMA,MOBLALOW,ae21.0,VAR1.MOB3,VAR,TWTC-JUNIPER,MX104,ae21.0,10000000
VAR1.MOB3,VAR,TWTC-JUNIPER,MX104,MOB3,50 N LAWRENCE ST,MOBILE,ALABAMA,MOBLALOW,ae21.0,MOB3-AR1,AR,TWTC-JUNIPER,MX104,ae21.0,10000000
VAR1.MOB3,VAR,TWTC-JUNIPER,MX104,MOB3,50 N LAWRENCE ST,MOBILE,ALABAMA,MOBLALOW,ae20.0,SCR2.MGM2,SCR,GBLX,7750-SR-12e,ae6,10000000
SCR1.MGM2,SCR,GBLX,7750-SR-12e,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae5,MGM2-AR1,AR,TWTC-JUNIPER,MX104,ae20.0,10000000
SCR1.MGM2,SCR,GBLX,7750-SR-12e,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae3,MOB1-AR2,AR,TWTC-JUNIPER,M120,ae0.0,10000000
SCR1.MGM2,SCR,GBLX,7750-SR-12e,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae2,SCR1.NOR1,SCR,GBLX,MX10003,ae5.0,10000000
SCR1.MGM2,SCR,GBLX,7750-SR-12e,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae1,SCR2.MGM2,SCR,GBLX,7750-SR-12e,ae1,40000000
SCR1.MGM2,SCR,GBLX,7750-SR-12e,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae4,VAR1.MGM2,VAR,TWTC-JUNIPER,MX104,ae20.0,10000000
SCR2.MGM2,SCR,GBLX,7750-SR-12e,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae5,MGM2-AR1,AR,TWTC-JUNIPER,MX104,ae21.0,10000000
SCR2.MGM2,SCR,GBLX,7750-SR-12e,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae1,SCR1.MGM2,SCR,GBLX,7750-SR-12e,ae1,40000000
SCR2.MGM2,SCR,GBLX,7750-SR-12e,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae2,SDR3.ATL2,SDR,GBLX,MX10008,ae11.0,10000000
SCR2.MGM2,SCR,GBLX,7750-SR-12e,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae4,VAR1.MGM2,VAR,TWTC-JUNIPER,MX104,ae21.0,10000000
SCR2.MGM2,SCR,GBLX,7750-SR-12e,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae6,VAR1.MOB3,VAR,TWTC-JUNIPER,MX104,ae20.0,10000000
MGM2-AR1,AR,TWTC-JUNIPER,MX104,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae20.0,SCR1.MGM2,SCR,GBLX,7750-SR-12e,ae5,10000000
MGM2-AR1,AR,TWTC-JUNIPER,MX104,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae21.0,SCR2.MGM2,SCR,GBLX,7750-SR-12e,ae5,10000000
VAR1.MGM2,VAR,TWTC-JUNIPER,MX104,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae20.0,SCR1.MGM2,SCR,GBLX,7750-SR-12e,ae4,10000000
VAR1.MGM2,VAR,TWTC-JUNIPER,MX104,MGM2,315 N BAINBRIDGE ST,MONTGOMERY,ALABAMA,MTGMAL31,ae21.0,SCR2.MGM2,SCR,GBLX,7750-SR-12e,ae4,10000000
ANC-EDGE-02,EDGE,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae0.0,ANC-PCOR-01,PCOR,QCC,MX480,ae7.0,10000000
ANC-EDGE-02,EDGE,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae1.0,ANC-PCOR-02,PCOR,QCC,MX480,ae7.0,10000000
ANC-PCOR-01,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae7.0,ANC-EDGE-02,EDGE,QCC,MX480,ae0.0,10000000
ANC-PCOR-01,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae0.0,ANC-PCOR-02,PCOR,QCC,MX480,ae0.0,2000000
ANC-PCOR-01,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae1.0,ANC-PRIV-20,PRIV,QCC,7750-SR-12,ae3,10000000
ANC-PCOR-01,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae2.0,ANC-PRIV-21,PRIV,QCC,7750-SR-7,ae1,3000000
ANC-PCOR-01,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae5.0,ANC-SVCS-10,SVCS,QCC,MX80,ae0.0,1000000
ANC-PCOR-01,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae6.0,TUK-PCOR-20,PCOR,QCC,7950-XRS-20,ae8,10000000
ANC-PCOR-02,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae7.0,ANC-EDGE-02,EDGE,QCC,MX480,ae1.0,10000000
ANC-PCOR-02,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae0.0,ANC-PCOR-01,PCOR,QCC,MX480,ae0.0,2000000
,,,,,,,,,,,,,,,
ANC-PCOR-02,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae2.0,ANC-PRIV-21,PRIV,QCC,7750-SR-7,ae2,3000000
ANC-PCOR-02,PCOR,QCC,MX480,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae5.0,ANC-SVCS-10,SVCS,QCC,MX80,ae1.0,1000000
,,,,,,,,,,,,,,,
ANC-PRIV-20,PRIV,QCC,7750-SR-12,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae3,ANC-PCOR-01,PCOR,QCC,MX480,ae1.0,10000000
ANC-PRIV-20,PRIV,QCC,7750-SR-12,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae4,ANC-PCOR-02,PCOR,QCC,MX480,ae1.0,10000000
ANC-PRIV-21,PRIV,QCC,7750-SR-7,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae1,ANC-PCOR-01,PCOR,QCC,MX480,ae2.0,3000000
ANC-PRIV-21,PRIV,QCC,7750-SR-7,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae2,ANC-PCOR-02,PCOR,QCC,MX480,ae2.0,3000000
ANC-SVCS-10,SVCS,QCC,MX80,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae0.0,ANC-PCOR-01,PCOR,QCC,MX480,ae5.0,1000000
ANC-SVCS-10,SVCS,QCC,MX80,ANC,7441 DEBARR RD,ANCHORAGE,ALASKA,ANCRAKXE,ae1.0,ANC-PCOR-02,PCOR,QCC,MX480,ae5.0,1000000
CAL-PRIV-20,PRIV,QCC,7750-SR-7,CAL,840 7TH AVE SW,CALGARY,ALBERTA,CLGRABSM,ae3,CAL-PRIV-21,PRIV,QCC,7750-SR-7,ae2,1000000
CAL-PRIV-20,PRIV,QCC,7750-SR-7,CAL,840 7TH AVE SW,CALGARY,ALBERTA,CLGRABSM,ae1,TOR-PCOR-01,PCOR,QCC,MX480,ae5.0,2000000
CAL-PRIV-20,PRIV,QCC,7750-SR-7,CAL,840 7TH AVE SW,CALGARY,ALBERTA,CLGRABSM,ae2,VAN-PCOR-01,PCOR,QCC,MX480,ae3.0,2000000
CAL-PRIV-21,PRIV,QCC,7750-SR-7,CAL,840 7TH AVE SW,CALGARY,ALBERTA,CLGRABSM,ae2,CAL-PRIV-20,PRIV,QCC,7750-SR-7,ae3,1000000
VAR31.PHX5,VAR,TWTC-JUNIPER,MX304,PHX5,2335 S ELLIS ST,CHANDLER,ARIZONA,CHNFAZFI,ae20.0,SDR3.PHX1,SDR,GBLX,MX10004,ae13.0,400000000
VAR31.PHX5,VAR,TWTC-JUNIPER,MX304,PHX5,2335 S ELLIS ST,CHANDLER,ARIZONA,CHNFAZFI,ae21.0,VAR32.PHX5,VAR,TWTC-JUNIPER,MX304,ae20.0,400000000
VAR32.PHX5,VAR,TWTC-JUNIPER,MX304,PHX5,2335 S ELLIS ST,CHANDLER,ARIZONA,CHNFAZFI,ae21.0,SDR4.PHX1,SDR,GBLX,MX10004,ae13.0,400000000
VAR32.PHX5,VAR,TWTC-JUNIPER,MX304,PHX5,2335 S ELLIS ST,CHANDLER,ARIZONA,CHNFAZFI,ae20.0,VAR31.PHX5,VAR,TWTC-JUNIPER,MX304,ae21.0,400000000
ESP1.PHX1,ESP,GBLX,7750-SR-12,PHX1,811 S 16TH ST,PHOENIX,ARIZONA,PHNDAZ91,ae2,SDR1.PHX1,SDR,GBLX,7750-SR-12e,ae12,30000000
ESP1.PHX1,ESP,GBLX,7750-SR-12,PHX1,811 S 16TH ST,PHOENIX,ARIZONA,PHNDAZ91,ae1,SDR2.PHX1,SDR,GBLX,7750-SR-12e,ae19,30000000
ESP11.PHX1,ESP,GBLX,7750-SR-12,PHX1,811 S 16TH ST,PHOENIX,ARIZONA,PHNDAZ91,ae1,SDR1.PHX1,SDR,GBLX,7750-SR-12e,ae9,10000000
ESP11.PHX1,ESP,GBLX,7750-SR-12,PHX1,811 S 16TH ST,PHOENIX,ARIZONA,PHNDAZ91,ae2,SDR2.PHX1,SDR,GBLX,7750-SR-12e,ae10,10000000
ESP2.PHX1,ESP,GBLX,7750-SR-12,PHX1,811 S 16TH ST,PHOENIX,ARIZONA,PHNDAZ91,ae16,SDR1.PHX1,SDR,GBLX,7750-SR-12e,ae16,20000000
ESP2.PHX1,ESP,GBLX,7750-SR-12,PHX1,811 S 16TH ST,PHOENIX,ARIZONA,PHNDAZ91,ae17,SDR2.PHX1,SDR,GBLX,7750-SR-12e,ae16,20000000
ESP21.PHX1,ESP,GBLX,7750-SR-12,PHX1,811 S 16TH ST,PHOENIX,ARIZONA,PHNDAZ91,ae4,SDR3.PHX1,SDR,GBLX,MX10004,ae11.0,100000000
ESP21.PHX1,ESP,GBLX,7750-SR-12,PHX1,811 S 16TH ST,PHOENIX,ARIZONA,PHNDAZ91,ae5,SDR4.PHX1,SDR,GBLX,MX10004,ae10.0,100000000
EVCR1.PHX1,EVCR,GBLX,7750-SR-12,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae2,EVCR2.PHX1,EVCR,GBLX,7750-SR-12,ae2,20000000
EVCR1.PHX1,EVCR,GBLX,7750-SR-12,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae1,SDR1.PHX1,SDR,GBLX,7750-SR-12e,ae21,20000000
EVCR2.PHX1,EVCR,GBLX,7750-SR-12,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae2,EVCR1.PHX1,EVCR,GBLX,7750-SR-12,ae2,20000000
EVCR2.PHX1,EVCR,GBLX,7750-SR-12,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae1,SDR2.PHX1,SDR,GBLX,7750-SR-12e,ae21,20000000
MAR1.PHX1,MAR,GBLX,M120,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae4.0,SDR1.PHX1,SDR,GBLX,7750-SR-12e,ae6,10000000
MAR1.PHX1,MAR,GBLX,M120,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae5.0,SDR2.PHX1,SDR,GBLX,7750-SR-12e,ae6,10000000
PR5.PHX1,PR,GBLX,MX104,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae0.0,SDR1.PHX1,SDR,GBLX,7750-SR-12e,ae10,10000000
PR5.PHX1,PR,GBLX,MX104,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae1.0,SDR2.PHX1,SDR,GBLX,7750-SR-12e,ae12,10000000
PR6.PHX1,PR,GBLX,MX104,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae0.0,SDR1.PHX1,SDR,GBLX,7750-SR-12e,ae11,10000000
PR6.PHX1,PR,GBLX,MX104,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae1.0,SDR2.PHX1,SDR,GBLX,7750-SR-12e,ae13,10000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,xe-8/1/4.3012,ERR41.PHX1,ERR,GBLX,VRR,em0.0,10000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,xe-8/1/4.3013,ERR42.PHX1,ERR,GBLX,VRR,em0.0,10000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae12,ESP1.PHX1,ESP,GBLX,7750-SR-12,ae2,30000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae9,ESP11.PHX1,ESP,GBLX,7750-SR-12,ae1,10000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae16,ESP2.PHX1,ESP,GBLX,7750-SR-12,ae16,20000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae21,EVCR1.PHX1,EVCR,GBLX,7750-SR-12,ae1,20000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae6,MAR1.PHX1,MAR,GBLX,M120,ae4.0,10000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,xe-9/1/4.0,MRP1.PHX1,MRP,GBLX,MX104,xe-2/0/0.0,10000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae15,NR3.PHX1,NR,GBLX,MX104,ae0.0,10000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae10,PR5.PHX1,PR,GBLX,MX104,ae0.0,10000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae11,PR6.PHX1,PR,GBLX,MX104,ae0.0,10000000
SDR1.PHX1,SDR,GBLX,7750-SR-12e,PHX1,801 S 16TH ST,PHOENIX,ARIZONA,PHNBAZCF,ae3,SCR1.AQQ5,SCR,GBLX,7750-SR-12,ae3,100000000
