network,type,router,software,chassis,clli_code
AS209,DSL-GW,PHN4-DSL-GW15.PHN4.QWEST.NET,21.2R3-S9.20,MX480,PHNXAZNE
AS3549,VAR,VAR2.SDG3,21.4R3-S8.4,MX10003,SNDACAGL
AS209,PRIV,BIS-PRIV-21,16.0.R15,7750-SR-12,BSMRNDCP
AS3549,AR,WDC13-AR1,19.1R2-S3,MX960,WASHDC29
AS209,PRIV,DES-PRIV-20,16.0.R15,7750-SR-12,DESMIADT
AS3549,VAR,VAR2.CHI13,21.4R3-S8.4,MX10003,BRVWILCU
AS209,EDGE,CER-EDGE-20,21.2R3-S9.20,MX2010,CHCGILDT
AS3549,ESP,ESP2.HAR1,16.0.R15,7750-SR-12,HRBGPAGU
AS3549,ESP,ESP1.KAC1,16.0.R15,7750-SR-12,KSCYMO11
AS3549,SCR,SCR1.MLW8,21.4R3-S8.4,MX10003,MILXWIIX
AS3549,SCR,SCR2.TCS2,16.0.R20,7750-SR-12,TCSMAZSJ
AS3549,AR,AR1.DEN1,15.1F5-S7.1,MX960,DNVTCO56
AS3549,VAR,VAR3.SMF2,21.4R3-S8.4,MX10003,WSCRCAHW
AS209,PRIV,MRH-PRIV-21,16.0.R15,7750-SR-12,MRHGMOKZ
AS3356,BAR,BAR1.SLC1,21.2R3-S9.20,MX960,SLKDUTYI
AS209,EDGE,TPA-EDGE-15,21.2R3-S3.5,MX480,TAMRFLIY
AS209,DSL-GW,HELN-DSL-GW01.HELN.QWEST.NET,12.2(33)SB13,C10008,HLNAMTMA
AS3356,EAR,EAR2.NWR1,16.0.R14,7750-SR-12,NWRKNJMD
AS3356,BAR,BAR3.TMP1,22.4R3-S6.5,PTX10008,TAMRFLWS
AS3356,EDGE,EDGE1.CLE1,11.4R8.4,M120,CLEVOH97
AS209,PRIV,OMH-PRIV-21,16.0.R15,7750-SR-12,OMAHNEKG
AS209,DSL-GW,BLNG-DSL-GW18.BLNG.QWEST.NET,12.2(33)SB13,C10008,BLNGMTSG
AS209,DSL-GW,FRGO-DSL-GW12.FRGO.QWEST.NET,12.2(33)SB13,C10008,FARGNDBC
AS3356,BAR,BAR3.POR1,22.4R3-S6.5,PTX10008,PTLGORIA
AS3549,VAR,VAR2.DAL5,21.4R3-S8.4,MX960,DLLATX37
AS3549,VAR,VAR1.BIL4,21.4R3-S8.4,MX10003,BLNGMTMA
AS3549,VAR,VAR1.BOS4,21.4R3-S8.4,MX10003,CMBRMAOR
AS209,PRIV,SXC2-PRIV-20,16.0.R15,7750-SR-12,SXCYIADT
AS3549,VAR,VAR3.WDC5,21.4R3-S8.4,MX10003,HRNDVAIZ
AS3356,EDGE,EDGE3.PHX1,22.4R3-S6.5,PTX10008,PHNDAZ91
AS3549,SDR,SDR3.HOU2,22.4R3-S6.5,MX10004,HSTGTX05
AS3549,ES,NSH6-ES1,20.2X4.1,ACX5448,NSVMTN17
AS3549,SDR,SDR4.OAK1,22.4R3-S6.5,MX10004,EMVLCA04
AS3356,EDGE,EDGE3.WDC1,22.4R3-S6.5,PTX10008,MCLNVA23
AS3356,BAR,BAR4.POR1,22.4R3-S6.5,PTX10008,PTLGORIA
AS3549,VAR,VAR1.CMH1,21.4R3-S8.4,MX10003,CLMDOH44
AS3549,SCR,SCR4.RAL1,22.4R3-S6.5,MX10004,RLGHNCJV
AS3549,SCR,SCR1.CLT1,22.4R3-S6.5,MX10004,CHRLNCRL
AS3549,VAR,VAR1.IND8,21.4R3-S8.4,MX10003,IPLWINRO
AS3549,SDR,SDR3.OAK1,22.4R3-S6.5,MX10004,EMVLCA04
AS3549,SCR,SCR3.AUS1,22.4R3-S6.5,MX10004,AUSTTXUH
AS3549,VAR,VAR31.PHX5,22.4R3-S6.5,MX304,CHNFAZFI
AS3549,SCR,SCR2.CLT1,22.4R3-S6.5,MX10004,CHRLNCRL
AS3549,SCR,SCR3.RAL1,22.4R3-S6.5,MX10004,RLGHNCJV
AS3549,SCR,SCR5.PHI1,22.4R3-S6.5,MX10004,PHLAPAFG
AS3549,SDR,SDR3.MIA42,22.4R3-S6.5,MX10004,MIBBFLLO
AS3356,EDGE,EDGE1.MIA1,11.4R8.4,M120,MIATFLAD
AS3356,EAR,EAR2.AUS1,23.10.R8,7750-SR-2s,AUSTTXUH
AS3356,EAR,EAR1.RAL1,23.10.R8,7750-SR-2s,RLGHNCJV
AS3356,EAR,EAR2.BOI7,23.10.R8,7750-SR-2s,BOISIDMA
AS3356,BAR,BAR4.TMP1,22.4R3-S6.5,PTX10008,TAMRFLWS
AS3356,EDGE,EDGE1.LAX6,21.2R3-S9.20,MX960,LSANCARC
AS3356,EDGE,EDGE1.CHI10,22.4R3-S6.5,PTX10008,BRVWILCU
AS3356,EAR,EAR1.BOS1,23.10.R8,7750-SR-7s,CMBRMAOR
AS3356,EDGE,EDGE4.HOU1,22.4R3-S6.5,PTX10008,HSTQTX02
AS3549,VAR,VAR2.IND8,21.4R3-S8.4,MX10003,IPLWINRO
AS3549,AR,WDC111-AR3,19.1R2-S3,MX960,ASBNVAMG
AS209,EDGE,HLR-EDGE-10,21.2R3-S3.5,MX960,HLRNCOFP
AS3549,VAR,VAR1.TUS3,21.4R3-S8.4,MX960,TCSMAZSJ
AS3549,VAR,VAR32.PHX5,22.4R3-S6.5,MX304,CHNFAZFI
AS3549,VAR,VAR1.DEN5,21.4R3-S8.4,MX960,DNVTCO56
AS3549,AR,BLT1-AR1,15.1F5-S7.1,MX960,BLTMMDDN
AS3356,EAR,EAR1.LAX6,16.0.R14,7750-SR-12,LSANCARC
AS3549,AR,SJO1-AR1,19.1R2-S3,MX960,SNVACAID
AS3549,SDR,SDR1.TUS1,22.4R3-S6.5,MX10004,TUSTCAFT
AS3356,EAR,EAR1.CSR1,23.10.R8,7750-SR-2s,CSPRWYMA
AS3356,EDGE,EDGE1.BOS1,11.4R8.4,M120,CMBRMAOR
AS209,DSL-GW,EUG2-DSL-GW07.EUG2.QWEST.NET,12.2(33)SB13,C10008,EUGNOR53
AS3549,VAR,VAR1.DAL5,21.4R3-S8.4,MX960,DLLATX37
AS3356,EAR,EAR5.SEA1,23.10.R8,7750-SR-7s,STTNWAHO
AS3549,SDR,SDR2.TUS1,22.4R3-S6.5,MX10004,TUSTCAFT
AS3356,BEAR,BEAR2.CLT1,16.0.R14,7750-SR-12,CHRLNCRL
AS209,DSL-GW,CHEY-DSL-GW01.CHEY.QWEST.NET,12.2(33)SB13,C10008,CHYNWYMA
AS3549,SDR,SDR6.ATL2,22.4R3-S6.5,MX10004,ATLDGAUY
AS3549,VAR,VAR2.SEA5,21.4R3-S8.4,MX960,STTNWAHO
AS209,DSL-GW,HLRN-DSL-GW59.HLRN.QWEST.NET,12.2(33)SB13,C10008,HLRNCOFP
AS3549,ESP,ESP11.LAX1,16.0.R15,7750-SR-12,LSANCARC
AS209,EDGE,SVL-EDGE-25,21.2R3-S3.5,MX960,SNVACAHZ
AS3356,EAR,EAR1.LIT2,23.10.R8,7750-SR-2s,LTRKARDR
AS3549,SDR,SDR4.MIA42,22.4R3-S6.5,MX10004,MIBBFLLO
AS3356,EAR,EAR1.ATL2,23.10.R6,7950-XRS-20,ATLDGAUY
AS3549,SDR,SDR2.PHX1,16.0.R20,7750-SR-12e,PHNBAZCF
AS3549,ESP,ESP1.PHX1,16.0.R15,7750-SR-12,PHNDAZ91
AS209,EDGE,DVR3-EDGE-01,21.2R3-S3.5,MX2010,DNVRCOMA
AS3356,EDGE,EDGE1.CIN1,11.4R8.4,M120,CNCNOHBV
AS209,DSL-GW,PHN4-DSL-GW01.PHN4.QWEST.NET,21.2R3-S9.20,MX480,PHNXAZNE
AS3356,EAR,EAR1.CLT1,23.10.R8,7750-SR-2s,CHRLNCRL
AS3356,EDGE,EDGE1.PHI1,11.4R8.4,M120,PHLAPAFG
AS3356,BAR,BAR3.TOR1,22.4R3-S6.5,PTX10008,TORVONRF
AS3356,EAR,EAR2.AQQ6,23.10.R8,7750-SR-2s,ALBQNMMA
AS3356,EAR,EAR1.MDS2,23.10.R8,7750-SR-2s,MDSNWIUQ
AS3356,BEAR,BEAR2.BAL1,16.0.R14,7750-SR-12,BLTMMDSN
AS3356,EAR,EAR1.KAC2,23.10.R8,7750-SR-2s,KSCBMOVS
AS3356,BEAR,BEAR1.STL1,16.0.R14,7750-SR-12,STLSMOPL
AS3356,EAR,EAR2.RAL1,23.10.R6,7750-SR-2s,RLGHNCJV
AS209,PRIV,MIN5-PRIV-23,16.0.R15,7750-SR-12,STPLMNMK
AS3356,EAR,EAR1.MIA2,16.0.R14,7750-SR-12,MIAUFLWS
AS3356,EAR,EAR1.NWR1,16.0.R14,7750-SR-12,NWRKNJMD
AS3356,BEAR,BEAR1.HOU1,23.10.R6,7950-XRS-20,HSTQTX02
AS3356,EAR,EAR2.PIT1,23.10.R6,7750-SR-2s,PITEPADT
AS3356,BAR,BAR1.BUF1,21.2R3-S9.20,MX960,BFLPNYBF
AS3549,VAR,VAR1.SAT5,21.4R3-S8.4,MX10003,SNAQTXKY
AS209,PCOR,FTW-PCOR-21,16.0.R20,7950-XRS-20,FTWQTXFH
AS3549,VAR,VAR2.LAX5,21.4R3-S8.4,MX960,LSANCA54
AS3356,EAR,EAR1.LVG1,23.10.R6,7750-SR-2s,NLVGNVBV
AS209,PRIV,CER-PRIV-16,6.7.3[Default],ASR9K,CHCGILDT
AS3549,SCR,SCR1.BTR1,21.4R3-S8.4,MX10003,BTRGLA71
AS3356,EAR,EAR1.DET5,23.10.R8,7750-SR-2s,DTRTMITK
AS3356,EAR,EAR4.DEN1,23.10.R8,7750-SR-7s,DNVTCO56
AS3549,ES,NSH6-ES2,20.2X4.1,ACX5448,NSVMTN17
AS3356,EAR,EAR1.TCS2,23.10.R8,7750-SR-2s,TCSMAZSJ
AS3356,BEAR,BEAR2.PIT3,16.0.R14,7750-SR-12,PITDPANG
AS3356,BEAR,BEAR1.CLT1,16.0.R14,7750-SR-12,CHRLNCRL
AS3356,EDGE,EDGE3.CHI2,11.4R8.4,M120,CHCTILWC
AS3549,SDR,SDR3.CHI2,21.4R3-S8.4,MX10008,CHCTILWC
AS3356,BAR,BAR2.BUF1,21.2R3-S9.20,MX960,BFLPNYBF
AS3356,EAR,EAR4.SEA1,23.10.R6,7950-XRS-20,STTNWAHO
AS3549,SDR,SDR4.KAC2,22.4R3-S6.5,MX10004,KSCBMOVS
AS3356,EAR,EAR1.MIA1,23.10.R6,7950-XRS-20,MIATFLAD
AS3356,EAR,EAR3.DAL1,23.10.R6,7950-XRS-20,DLLATX37
AS3356,BEAR,BEAR1.CIN1,16.0.R14,7750-SR-12,CNCNOHBV
AS3549,SCR,SCR1.LIT2,21.4R3-S8.4,MX10003,LTRKARDR
AS3549,SDR,SDR4.HOU2,22.4R3-S6.5,MX10004,HSTGTX05
AS3356,EDGE,EDGE2.PHX1,22.4R3-S6.5,PTX10008,PHNDAZ91
AS3356,EDGE,EDGE3.CHI10,22.4R3-S6.5,PTX10008,BRVWILCU
AS3549,ES,PHX5-ES32,23.4R2-S3.10-EVO,ACX7100-32C,CHNFAZFI
AS3356,EDGE,EDGE1.SLC1,11.4R8.4,M120,SLKDUTYI
AS3356,BAR,BAR1.TUS1,21.2R3-S9.20,MX960,TUSTCAFT
AS3549,ES,PHX5-ES31,23.4R2-S3.10-EVO,ACX7100-32C,CHNFAZFI
AS3549,SDR,SDR1.KAC2,21.4R3-S8.4,MX10003,KSCBMOVS
AS3356,EDGE,EDGE4.LAX1,11.4R8.4,M120,LSANCA54
AS3356,EAR,EAR3.CHI2,23.10.R6,7950-XRS-20,CHCTILWC
AS3356,EAR,EAR2.MON1,23.10.R6,7750-SR-2s,LCHNPQEQ
AS3356,EAR,EAR2.SJO1,23.10.R6,7950-XRS-20,SNVACAID
AS3356,EAR,EAR1.NYC6,23.10.R6,7950-XRS-20,NYCPNYYK
AS3549,ER,SAT1-ER1,15.1F5-S7.1,MX480,SNANTX91
AS3356,EAR,EAR2.CHI2,23.10.R8,7950-XRS-20,CHCTILWC
AS3356,BAR,BAR1.SDG1,21.2R3-S9.20,MX960,SNDACAGL
AS3356,EAR,EAR2.SEA1,23.10.R6,7950-XRS-20,STTNWAHO
AS3549,SCR,SCR6.PHI1,22.4R3-S6.5,MX10004,PHLAPAFG
AS3356,EAR,EAR2.NYC1,23.10.R6,7950-XRS-20,NYCMNY83
AS3356,EAR,EAR1.SAT1,23.10.R8,7750-SR-2s,SNAQTXKY
AS3356,EDGE,EDGE6.ATL2,22.4R3-S6.5,PTX10008,ATLDGAUY
AS3356,EDGE,EDGE9.SJO1,22.4R3-S6.5,PTX10008,SNVACAID
AS3356,BEAR,BEAR2.WDC111,23.10.R6,7950-XRS-20,ASBNVAMG
AS3356,EAR,EAR2.MIN25,23.10.R8,7750-SR-2s,MNNTMNIC
AS209,DSL-GW,STPL-DSL-GW10.STPL.QWEST.NET,19.4R3-S3.3,MX480,STPLMNMK
AS3549,VAR,VAR1.ATL6,21.2R3-S9.20,MX960,ATLNGAHP
AS3356,EAR,EAR2.NYC6,23.10.R6,7950-XRS-20,NYCPNYYK
AS3549,ES,SEA2-ES31,23.4R2-S3.10-EVO,ACX7100-32C,STTLWAWB
AS209,VSMR,LOS-VSMR-03,15.1F6-S6.4,MX480,LSANCAJW
AS209,EDGE,DCX2-EDGE-04,21.2R3-S3.5,MX960,ASBNVACZ
AS209,VSMR,IND-VSMR-04,15.1F6-S6.4,MX480,IPLXINIF
AS3549,SCR,SCR1.SPO3,21.4R3-S8.4,MX10003,SPKNWA01
AS3356,EAR,EAR2.SPO3,23.10.R6,7750-SR-2s,SPKNWA01
AS3356,EAR,EAR5.DEN1,23.10.R8,7950-XRS-20,DNVTCO56
AS3549,SCR,SCR2.SPO3,21.4R3-S8.4,MX10003,SPKNWA01
AS3549,SCR,SCR4.NYC2.NYC,21.2R3-S9.20,MX960,NYCPNYYK
AS3549,ESP,ESP1.SYR3,16.0.R15,7750-SR-12,SYRCNYNH
AS209,PRIV,CER-PRIV-14,6.7.3[Default],ASR9K,CHCGILDT
AS3549,SDR,SDR3.ATL2,21.4R3-S8.4,MX10008,ATLDGAUY
AS3356,EDGE,EDGE1.RCS7,17.3R3-S12.3,MX104,GATSNYAO
AS3549,VAR,VAR2.PHL1,21.4R3-S8.4,MX10003,PHLAPAFG
AS3549,VAR,VAR1.NSH6,21.4R3-S8.4,MX10003,NSVMTN17
AS209,VSMR,TKW-VSMR-03,15.1F6-S6.4,MX480,TKWLWALL
AS3356,EAR,EAR2.LVG1,23.10.R8,7750-SR-2s,NLVGNVBV
AS209,EDGE,KCM-EDGE-20,21.2R3-S3.5,MX960,KSCAMO96
AS3356,EAR,EAR1.DAL1,23.10.R6,7950-XRS-20,DLLATX37
AS3356,BAR,BAR2.SLC1,21.2R3-S9.20,MX960,SLKDUTYI
AS3549,ER,DAL1-ER1,15.1F5-S7.1,MX480,DLLFTXFQ
AS209,DSL-GW,ALBQ-DSL-GW46.ALBQ.QWEST.NET,12.2(33)SB13,C10008,ALBQNMPC
AS3356,EDGE,EDGE8.DEN1,22.4R3-S6.5,PTX10008,DNVTCO56
AS3356,EDGE,EDGE6.SEA1,22.4R3-S6.5,PTX10008,STTNWAHO
AS209,DSL-GW,EUG2-DSL-GW03.EUG2.QWEST.NET,12.2(33)SB13,C10008,EUGNOR53
AS3549,SCR,SCR2.SEA1,18.2R3-S8.5,MX960,STTLWAWB
AS3549,AR,LAX1-AR2,19.1R2-S3,MX960,LSANCARC
AS3356,EAR,EAR2.CSR1,23.10.R8,7750-SR-2s,CSPRWYMA
AS3549,AR,MIA42-AR2,19.1R2-S3,MX960,MIBBFLLO
AS3356,EAR,EAR4.DAL1,23.10.R8,7950-XRS-20,DLLATX37
AS3356,EAR,EAR2.BIL4,23.10.R8,7750-SR-2s,BLNGMTMA
AS3356,EDGE,EDGE1.STL1,11.4R8.4,M120,STLSMOPL
AS3549,SCR,SCR2.RAL1,21.4R3-S8.4,MX10003,RLGHNCJV
AS3549,SDR,SDR2.LAX9,21.4R3-S8.4,MX10008,LSANCAJW
AS3356,EDGE,EDGE2.CIN1,11.4R8.4,M120,CNCNOHBV
AS3549,VAR,VAR2.SLC2,22.4R3-S6.5,MX10004,SLKDUTYI
AS209,EDGE,CER-EDGE-23,21.2R3-S9.20,MX2010,CHCGILDT
AS209,AGW,ALBQ-AGW1,21.2R3-S9.20,MX960,ALBQNMPC
AS3356,EAR,EAR2.FRS1,23.10.R6,7750-SR-2s,FRSMCA15
AS3356,EDGE,EDGE3.NWR1,21.2R3-S9.20,MX960,NWRKNJMD
