location_code,short_name,location_name,address,address_2,city,state,postal_code,country,timezone_name,timezone_offset,latitude,longitude,region
HSTQTX02,hou1,Houston1,12001 NORTH FWY,,HOUSTON,TEXAS,77060,US,CENTRAL TIME,-6,29.943069,-95.416801,
IPLWINRO,ind1,Indianapolis1,1902 S EAST ST,,INDIANAPOLIS,INDIANA,46225,US,EASTERN TIME,-5,39.741417,-86.150841,
JCSNMSHA,45292,Jackson1,142 LEFLEURS SQ,,JACKSON,MISSISSIPPI,39211,US,CENTRAL TIME,-6,32.360168,-90.148178,
JCVNFL07,jax1,Jacksonville1,6263 PHILIPS HWY,,JACKSONVILLE,FLORIDA,32216,US,EASTERN TIME,-5,30.258614,-81.610764,
KSCYMO11,kac1,KansasCity1,1100 WALNUT ST,,KANSAS CITY,MISSOURI,64106,US,CENTRAL TIME,-6,39.100571,-94.582619,
NLVGNVBV,lvg1,LasVegas1,1 AEROJET WAY,,NORTH LAS VEGAS,NEVADA,89030,US,PACIFIC TIME,-8,36.236549,-115.117401,
LXTNKYYY,lex1,Lexington1,565 W MAIN ST,,LEXINGTON,KENTUCKY,40507,US,EASTERN TIME,-5,38.05122,-84.502151,
NLRKAR41,lit1,LittleRock1,912 PINE ST,,NORTH LITTLE ROCK,ARKANSAS,72114,US,CENTRAL TIME,-6,34.778027,-92.298576,
LONDEN02,lon1,London1,6 BRAHAM ST,6,LONDON,ENGLAND,E1 8EE,GB,"DUBLIN,EDINBURGH,LONDON,LISBON",0,51.513962,-0.07248,
LONDENEH,lon2,London2,260-266 GOSWELL RD,WEST HOARE,LONDON,GREATER LONDON,EC1V 7EB,GB,"DUBLIN,EDINBURGH,LONDON,LISBON",0,51.529259,-0.10162,
LONDENDE,lon3,London3,47 MILLHARBOUR,47,LONDON,TOWER HAMLETS,E14 9TR,GB,PACIFIC TIME,-8,51.496849,-0.0188,
LONDENCY,lon4,London4,CORIANDER AVENUE,TELEHOUSE NORTH,LONDON,ENGLAND,E14 2AA,GB,"DUBLIN,EDINBURGH,LONDON,LISBON",0,51.511517,-0.001787,
LSANCA54,lax1,LosAngeles1,818 W 7TH ST,,LOS ANGELES,CALIFORNIA,90017,US,PACIFIC TIME,-8,34.048908,-118.259354,
LSANCA72,lax2,LosAngeles2,611 WILSHIRE BLVD,,LOS ANGELES,CALIFORNIA,90017,US,PACIFIC TIME,-8,34.048302,-118.256172,
LSAOCAAW,lax3,LosAngeles3,10201 W PICO BLVD,BUILDING 101,LOS ANGELES,CALIFORNIA,90064,US,PACIFIC TIME,-8,34.052078,-118.410431,
ANHNCA03,lax4,LosAngeles4,2461 W LA PALMA AVE,,ANAHEIM,CALIFORNIA,92801,US,PACIFIC TIME,-8,33.84964,-117.971054,
LSVNKYJH,lou1,Louisville1,848 S 8TH ST,,LOUISVILLE,KENTUCKY,40203,US,EASTERN TIME,-5,38.243191,-85.765961,
MDRDSPCL,mad1,Madrid1,71 CALLE ALBASANZ,2,MADRID,MADRID,28037,ES,CET  CENTRAL EUROPEAN,1,40.439499,-3.621445,
MNCHENAN,man1,Manchesteruk1,LLOYD STREET NORTH,WILLIAMS HOUSE,MANCHESTER,LANCASHIRE,M15 6SE,GB,"DUBLIN,EDINBURGH,LONDON,LISBON",0,53.464088,-2.23636,
MMPKTNVZ,mem1,Memphis1,3993 CROWFARN DR,,MEMPHIS,TENNESSEE,38118,US,CENTRAL TIME,-6,35.028854,-89.930717,
MIATFLAD,mia1,Miami1,49 NW 5TH ST,,MIAMI,FLORIDA,33128,US,EASTERN TIME,-5,25.77924,-80.195038,
MILNITSP,mln1,Milan1,21 VIA CALDERA,BUILDING E,MILANO,MILANO,20153,IT,CET  CENTRAL EUROPEAN,1,45.47736,9.102018,
MPLTMNZB,min1,Minneapolis1,715 N 2ND ST,,MINNEAPOLIS,MINNESOTA,55401,US,CENTRAL TIME,-6,44.9888,-93.276863,
MOBLAL35,mob4,Mobile4,110 SHORT TEXAS ST,,MOBILE,ALABAMA,36603,US,CENTRAL TIME,-6,30.675785,-88.041267,
MNCHGEAO,mun1,Munich1,WAMSLERSTR 8,,MUNCHEN,BAVARIA,81829,DE,CET  CENTRAL EUROPEAN,1,48.135658,11.66268,
NSVMTNFS,nvl4,Nashville4,2530 PERIMETER PLACE DR,,NASHVILLE,TENNESSEE,37214,US,CENTRAL TIME,-6,36.149818,-86.679771,
MTRELANJ,nor1,NewOrleans1,3220 LAUSAT ST,,METAIRIE,LOUISIANA,70001,US,CENTRAL TIME,-6,29.97225,-90.157867,
NWRKNJMD,nwr1,Newark1,165 HALSEY ST,,NEWARK,NEW JERSEY,7102,US,EASTERN TIME,-5,40.736778,-74.173309,
NYCMNY83,nyc1,NewYork1,111 8TH AVE,,NEW YORK,NEW YORK,10011,US,EASTERN TIME,-5,40.740841,-74.001968,
NRFLVABN,ngu1,Norfolk1,2600 ELTHAM AVE,,NORFOLK,VIRGINIA,23513,US,EASTERN TIME,-5,36.879051,-76.221519,
EMVLCA04,oak1,Oakland1,5000 HOLLIS ST,,EMERYVILLE,CALIFORNIA,94608,US,PACIFIC TIME,-8,37.83506,-122.286674,
OKCZOKZC,okc1,OklahomaCity1,620 S SANTA FE AVE,,OKLAHOMA CITY,OKLAHOMA,73003,US,CENTRAL TIME,-6,35.332954,-97.512062,
BLLVNEBL,oma1,Omaha1,1514 CHANDLER RD W,,BELLEVUE,NEBRASKA,68147,US,CENTRAL TIME,-6,41.185532,-95.936073,
ORLFFLEJ,orl1,Orlando1,380 S LAKE DESTINY DR,,ORLANDO,FLORIDA,32810,US,EASTERN TIME,-5,28.615879,-81.389404,
OSLONWAQ,osl1,Oslo1,9 HANS M??LLER GASMANNS V,,OSLO,OSLO,598,NO,CET  CENTRAL EUROPEAN,1,59.938431,10.83498,
PARSFRAW,par1,Paris1,55 AVENUE DES CHAMPS PIERREUX,,NANTERRE,HAUTS-DE-SEINE,92012,FR,CET  CENTRAL EUROPEAN,1,48.888081,2.21519,
PHLAPAFG,phi1,Philadelphia1,401 N BROAD ST,,PHILADELPHIA,PENNSYLVANIA,19108,US,EASTERN TIME,-5,39.959667,-75.161995,
PHNDAZ91,phx1,Phoenix1,811 S 16TH ST,,PHOENIX,ARIZONA,85034,US,MOUNTAIN TIME,-7,33.43964,-112.04686,
PITDPANG,pit3,Pittsburgh3,200 TECHNOLOGY DR,,PITTSBURGH,PENNSYLVANIA,15219,US,EASTERN TIME,-5,40.429909,-79.959763,
PTLDORWA,por2,Portland2,707 SW WASHINGTON ST,UNIONBANK TOWER,PORTLAND,OREGON,97205,US,PACIFIC TIME,-8,45.521149,-122.67923,
PRAGCKAS,prg1,Prague1,1428/47 NAD ELEKTR?ÅRNOU,,PRAHA,PRAHA 10,106 00,CZ,CET  CENTRAL EUROPEAN,1,50.060169,14.48293,
MNJTNJAB,prn1,Princeton1,4260 US HIGHWAY 1,,MONMOUTH JUNCTION,NEW JERSEY,8852,US,EASTERN TIME,-5,40.37566,-74.583,
RLGHNCJV,ral1,Raleigh1,5301 DEPARTURE DR,,RALEIGH,NORTH CAROLINA,27616,US,EASTERN TIME,-5,35.854481,-78.597038,
RLGHNCLM,ral2,Raleigh2,1 TURNER ST,,RALEIGH,NORTH CAROLINA,27607,US,EASTERN TIME,-5,35.7924,-78.68264,
RCHNVAKQ,rch1,Richmond1,8851 PARK CENTRAL DR,,RICHMOND,VIRGINIA,23227,US,EASTERN TIME,-5,37.646778,-77.438438,
WSCRCAHW,sac1,Sacramento1,1075 TRIANGLE CT,,WEST SACRAMENTO,CALIFORNIA,95605,US,PACIFIC TIME,-8,38.58691,-121.529884,
SLKDUTYI,slc1,SaltLakeCity1,572 S DELONG ST,,SALT LAKE CITY,UTAH,84104,US,MOUNTAIN TIME,-7,40.75631,-111.953835,
SNAQTXKY,sat1,SanAntonio1,5130 SERVICE CENTER DR,,SAN ANTONIO,TEXAS,78218,US,CENTRAL TIME,-6,29.476376,-98.39064,
SNDACAGL,sdg1,SanDiego1,8929 AERO DR,,SAN DIEGO,CALIFORNIA,92123,US,PACIFIC TIME,-8,32.808971,-117.135902,
SNFCCASY,sfo1,SanFrancisco1,185 BERRY ST,,SAN FRANCISCO,CALIFORNIA,94107,US,PACIFIC TIME,-8,37.77668,-122.392143,
SNVACAID,sjo1,SanJose1,1380 KIFER RD,,SUNNYVALE,CALIFORNIA,94086,US,PACIFIC TIME,-8,37.373482,-121.98761,
PTTNPAAR,scr1,Scranton1,1180 SATHERS DR,,PITTSTON,PENNSYLVANIA,18640,US,EASTERN TIME,-5,41.315563,-75.715874,
STTNWAHO,sea1,Seattle1,1000 DENNY WAY,,SEATTLE,WASHINGTON,98109,US,PACIFIC TIME,-8,47.619061,-122.33651,
STLSMOPL,stl1,StLouis1,1015 LOCUST ST,,SAINT LOUIS,MISSOURI,63101,US,CENTRAL TIME,-6,38.630421,-90.194923,
SMFRCTPU,stm1,Stamford1,21 HARBOR VIEW AVE,,STAMFORD,CONNECTICUT,6902,US,EASTERN TIME,-5,41.047741,-73.530937,
STCGPADN,sce1,StateCollege1,101 INNOVATION BLVD,,STATE COLLEGE,PENNSYLVANIA,16803,US,EASTERN TIME,-5,40.83326,-77.842392,
STKHSWAQ,stk1,Stockholm1,36 MARIEH??LLSV??GEN,,BROMMA,STOCKHOLM COUNTY,168 65,SE,CET  CENTRAL EUROPEAN,1,59.361958,17.957554,
SPBGFLSE,stp1,StPetersburg1,100 CENTRAL AVE,,SAINT PETERSBURG,FLORIDA,33701,US,EASTERN TIME,-5,27.77079,-82.634758,
SYRCNYTO,syr1,Syracuse1,282.93 MP 282.93 EXIT 36,,SYRACUSE,NEW YORK,13211,US,EASTERN TIME,-5,43.10054,-76.144539,
TLHSFL01,tal2,Tallahassee2,2075 MARYLAND CIR,,TALLAHASSEE,FLORIDA,32303,US,EASTERN TIME,-5,30.477489,-84.349754,
TAMRFLWS,tmp1,Tampa1,7909 WOODLAND CENTER BLVD,,TAMPA,FLORIDA,33614,US,EASTERN TIME,-5,28.0186,-82.523422,
BUVLTN01,tri1,TriCities1,170 BIRCH ST,,BLOUNTVILLE,TENNESSEE,37617,US,EASTERN TIME,-5,36.531479,-82.310715,
TULTOKEB,tul1,Tulsa1,419 E 1ST ST,,TULSA,OKLAHOMA,74120,US,CENTRAL TIME,-6,36.15707,-95.987137,
TULUOKBR,tul2,Tulsa2,18 W ARCHER ST,,TULSA,OKLAHOMA,74103,US,CENTRAL TIME,-6,36.157238,-95.993378,
TUSTCAFT,tus1,Tustin1,14452 FRANKLIN AVE,,TUSTIN,CALIFORNIA,92780,US,PACIFIC TIME,-8,33.717197,-117.806969,
VINNASAX,vie1,Vienna1,LOUIS-H??FLIGER-GASSE 10,GEB??UDE 5,WIEN,WIEN,1210,AT,CET  CENTRAL EUROPEAN,1,48.269348,16.410595,
WRSWPDAV,waw1,Warsaw1,ALEJE JEROZOLIMSKIE 65/79,,WARSZAWA,MASOVIAN,00-697,PL,CET  CENTRAL EUROPEAN,1,52.227753,21.004318,
MCLNVA23,wdc1,Washington1,1755 OLD MEADOW RD,ROOSEVELT BUILDING,MC LEAN,VIRGINIA,22102,US,EASTERN TIME,-5,38.920231,-77.211578,
RSTNVA91,wdc2,Washington2,12369 SUNRISE VALLEY DR,,RESTON,VIRGINIA,20191,US,EASTERN TIME,-5,38.9482,-77.371719,
WHWKNJAN,wee1,Weehawken1,300 BOULEVARD E,,WEEHAWKEN,NEW JERSEY,7086,US,EASTERN TIME,-5,40.761581,-74.026268,
WCHUKSHH,wch1,Wichita1,266 N MAIN ST,,WICHITA,KANSAS,67202,US,CENTRAL TIME,-6,37.689445,-97.337799,
ZRCHSZAW,zur1,Zurich1,235 HARDSTRASSE,,ZURICH,ZURICH ,8005,CH,CET  CENTRAL EUROPEAN,1,47.387661,8.51902,
ASBNVACY,wdc3,Washington3,21715 FILIGREE CT,,ASHBURN,VIRGINIA,20147,US,EASTERN TIME,-5,39.016491,-77.459084,
AUSXTXZT,aus2,Austin2,500 CHICON ST,BUILDING B,AUSTIN,TEXAS,78702,US,CENTRAL TIME,-6,30.26112,-97.722923,
AUSWTXJY,aus3,Austin3,1825 KRAMER LN,BUILDING A,AUSTIN,TEXAS,78758,US,CENTRAL TIME,-6,30.385269,-97.709114,
CHCGILDT,chi3,Chicago3,350 E CERMAK RD,,CHICAGO,ILLINOIS,60616,US,CENTRAL TIME,-6,41.85302,-87.618889,
CHCGILCP,chi4,Chicago4,600 S FEDERAL ST,,CHICAGO,ILLINOIS,60605,US,CENTRAL TIME,-6,41.87429,-87.629921,
CHCGILAL,chi5,Chicago5,151 N MICHIGAN AVE,,CHICAGO,ILLINOIS,60601,US,CENTRAL TIME,-6,41.88475,-87.624138,
ARLHILNS,chi6,Chicago6,1305 E ALGONQUIN RD,,ARLINGTON HEIGHTS,ILLINOIS,60005,US,CENTRAL TIME,-6,42.031158,-87.953552,
JPLNMOFF,jln1,Joplin1,5615 GATEWAY DR,,JOPLIN,MISSOURI,64804,US,CENTRAL TIME,-6,36.990459,-94.463913,
CHCSILHR,chi7,Chicago7,600 W CHICAGO AVE,,CHICAGO,ILLINOIS,60654,US,CENTRAL TIME,-6,41.897381,-87.643723,
NYCSNYOO,nyc2,NewYork2,85 10TH AVE,,NEW YORK,NEW YORK,10011,US,EASTERN TIME,-5,40.743031,-74.00779,
NYCMNYOV,nyc3,NewYork3,395 HUDSON ST,,NEW YORK,NEW YORK,10014,US,EASTERN TIME,-5,40.729389,-74.007172,
NYCMNYBQ,nyc4,NewYork4,65 BROADWAY,,NEW YORK,NEW YORK,10006,US,EASTERN TIME,-5,40.70718,-74.012352,
NYCMNYZR,nyc5,NewYork5,60 HUDSON ST,,NEW YORK,NEW YORK,10013,US,EASTERN TIME,-5,40.717907,-74.008751,
NYCPNYYK,nyc6,NewYork6,601 W 26TH ST,,NEW YORK,NEW YORK,10001,US,EASTERN TIME,-5,40.751541,-74.006851,
NYCNNYVT,nyc7,NewYork7,150 VARICK ST,,NEW YORK,NEW YORK,10013,US,EASTERN TIME,-5,40.72604,-74.005531,
STTLWAWB,sea3,Seattle3,2001 6TH AVE,,SEATTLE,WASHINGTON,98121,US,PACIFIC TIME,-8,47.614391,-122.338722,
STTOWAGL,sea4,Seattle4,1505 5TH AVE,,SEATTLE,WASHINGTON,98101,US,PACIFIC TIME,-8,47.610851,-122.336189,
STTQWA09,sea5,Seattle5,527 FAIRVIEW AVE N,,SEATTLE,WASHINGTON,98109,US,PACIFIC TIME,-8,47.623928,-122.334396,
ASBNVALJ,wdc4,Washington4,21691 FILIGREE CT,BUILDING E,ASHBURN,VIRGINIA,20147,US,EASTERN TIME,-5,39.01651,-77.46199,
VINNVACE,wdc5,Washington5,8502 TYCO RD,,VIENNA,VIRGINIA,22182,US,EASTERN TIME,-5,38.931454,-77.239403,
VINNVA97,wdc6,Washington6,8619 WESTWOOD CENTER DR,,VIENNA,VIRGINIA,22182,US,EASTERN TIME,-5,38.927738,-77.248604,
WASHDCWV,wdc7,Washington7,900 2ND ST NE,,WASHINGTON,DISTRICT OF COLUMBIA,20002,US,EASTERN TIME,-5,38.901482,-77.003601,
WASHDC89,wdc8,Washington8,1828 L ST NW,,WASHINGTON,DISTRICT OF COLUMBIA,20036,US,EASTERN TIME,-5,38.903519,-77.042938,
HRNDVAVI,wdc9,Washington9,251 EXCHANGE PL,,HERNDON,VIRGINIA,20170,US,EASTERN TIME,-5,38.956699,-77.381844,
LSANCACM,lax5,LosAngeles5,600 WILSHIRE BLVD,,LOS ANGELES,CALIFORNIA,90017,US,PACIFIC TIME,-8,34.047859,-118.256561,
ATLDGADG,atl7,Atlanta7,275 DECATUR ST SE,,ATLANTA,GEORGIA,30312,US,EASTERN TIME,-5,33.749752,-84.380943,
HSTGTX05,hou2,Houston2,2300 LYONS AVE,,HOUSTON,TEXAS,77020,US,CENTRAL TIME,-6,29.771387,-95.346451,
HSTPTXVH,hou3,Houston3,1124 HARDY ST,,HOUSTON,TEXAS,77020,US,CENTRAL TIME,-6,29.771324,-95.351044,
HSTQTX05,hou4,Houston4,300 RICHEY RD,,HOUSTON,TEXAS,77090,US,CENTRAL TIME,-6,29.998009,-95.429428,
HSTZTXUB,hou5,Houston5,2202 NANCE ST,,HOUSTON,TEXAS,77020,US,CENTRAL TIME,-6,29.767851,-95.34745,
OKBRILCS,chi8,Chicago8,1111 W 22ND ST,,OAK BROOK,ILLINOIS,60523,US,CENTRAL TIME,-6,41.84631,-87.946289,
PPLNNEAS,oma2,Omaha2,1410 GOLD COAST RD,,PAPILLION,NEBRASKA,68046,US,CST,-6,41.139603,-96.036995,
DLLSTX97,dal3,Dallas3,1950 N STEMMONS FWY,,DALLAS,TEXAS,75207,US,CENTRAL TIME,-6,32.800758,-96.819412,
DLLSTX64,dal4,Dallas4,1201 MAIN ST,,DALLAS,TEXAS,75202,US,CENTRAL TIME,-6,32.780449,-96.802071,
DLLSTX37,dal5,Dallas5,2323 BRYAN ST,UNIVISION TOWER,DALLAS,TEXAS,75201,US,CENTRAL TIME,-6,32.787312,-96.794289,
DLLSTXLD,dal6,Dallas6,400 S AKARD ST,,DALLAS,TEXAS,75202,US,CENTRAL TIME,-6,32.778141,-96.798203,
DLLGTX17,dal7,Dallas7,4101 BRYAN ST,BUILDING 9,DALLAS,TEXAS,75204,US,CENTRAL TIME,-6,32.797989,-96.780998,
DLLSTXAX,dal8,Dallas8,2223 VICTORY AVE,,DALLAS,TEXAS,75219,US,CENTRAL TIME,-6,32.784752,-96.810287,
DLLSTXQM,dal9,Dallas9,15303 DALLAS PKWY,,ADDISON,TEXAS,75001,US,CENTRAL TIME,-6,32.958729,-96.82235,
AUSVTXNG,aus4,Austin4,1122 S CAPITAL OF TEXAS HWY,,AUSTIN,TEXAS,78746,US,CENTRAL TIME,-6,30.283159,-97.824074,
CHCGILAB,chi9,Chicago9,200 N LA SALLE ST,,CHICAGO,ILLINOIS,60601,US,CENTRAL TIME,-6,41.886028,-87.632797,
ATLNGAMA,atl8,Atlanta8,55 MARIETTA ST NW,,ATLANTA,GEORGIA,30303,US,EASTERN TIME,-5,33.755901,-84.39106,
PLALCA01,sjo2,SanJose2,529 BRYANT ST,,PALO ALTO,CALIFORNIA,94301,US,PACIFIC TIME,-8,37.445869,-122.160828,
SNJUCACL,sjo3,SanJose3,11 GREAT OAKS BLVD,,SAN JOSE,CALIFORNIA,95119,US,PACIFIC TIME,-8,37.241459,-121.782822,
ORLFFLQR,orl2,Orlando2,440 W KENNEDY BLVD,,ORLANDO,FLORIDA,32810,US,EASTERN TIME,-5,28.617451,-81.393242,
ORLDFL42,orl3,Orlando3,130 WEBER ST,Adelphia POP,ORLANDO,FLORIDA,32803,US,EASTERN TIME,-5,28.558201,-81.375969,
ORLEFLCB,orl4,Orlando4,1 S ORANGE AVE,One S Orange TW HUB,ORLANDO,FLORIDA,32801,US,EASTERN TIME,-5,28.54199,-81.378838,
ORLDFLOE,orl5,Orlando5,111 N ORANGE AVE,,ORLANDO,FLORIDA,32801,US,EASTERN TIME,-5,28.54393,-81.378532,
SFLDMIAP,det4,Detroit4,24660 LAHSER RD,,SOUTHFIELD,MICHIGAN,48033,US,EASTERN TIME,-5,42.469868,-83.259888,
SFLDMITO,det2,Detroit2,21355 MELROSE AVE,,SOUTHFIELD,MICHIGAN,48075,US,EASTERN TIME,-5,42.447048,-83.252342,
DTRTMIFL,det3,Detroit3,1860 GRATIOT AVE,,DETROIT,MICHIGAN,48207,US,EASTERN TIME,-5,42.346386,-83.035713,
DTRTMITK,det5,Detroit5,1965 PORTER ST,,DETROIT,MICHIGAN,48216,US,EASTERN TIME,-5,42.325161,-83.06942,
PFTPMIHU,det6,Detroit6,5655 CARPENTER RD,,YPSILANTI,MICHIGAN,48197,US,EASTERN TIME,-5,42.206429,-83.678947,
BTRGLA12,btr2,BatonRouge2,445 NORTH BLVD,,BATON ROUGE,LOUISIANA,70802,US,CENTRAL TIME,-6,30.44758,-91.186478,
BTRGLALN,btr3,BatonRouge3,8549 UNITED PLAZA BLVD,,BATON ROUGE,LOUISIANA,70809,US,CENTRAL TIME,-6,30.41371,-91.095474,
NWRKDEFJ,nde1,NewarkDE1,504 INTERCHANGE BLVD,,NEWARK,DELAWARE,19711,US,EASTERN TIME,-5,39.659691,-75.781311,
SLKDUT11,slc2,SaltLakeCity2,3670 W 500 S,,SALT LAKE CITY,UTAH,84104,US,MOUNTAIN TIME,-7,40.75882,-111.978432,
SLKDUTTX,slc3,SaltLakeCity3,5035 W HAROLD GATTY DR,,SALT LAKE CITY,UTAH,84116,US,MOUNTAIN TIME,-7,40.780811,-112.011162,
CHRLMI01,lsg1,Lansing1,125 W MCCLURE ST,,CHARLOTTE,MICHIGAN,48813,US,EASTERN TIME,-5,42.570171,-84.836098,
