action,device_a,port_a,device_b,port_b,link_type,channel,frequency,description,, 
add,VAR32.NYC1,gig-0/0/0,SDR2.NYC1,gig-0/0/3,Intra-Pop,0,0,physical - Physcial - intra-Pop,,
add,VAR31.NYC1,ae0,SDR1.NYC1,ae3,Intra-Pop,0,0,LAG-LAG- intra-Pop,,
add,VAR31.NYC1,ae1,VAR32.NYC1,ae1,Intra-Pop,0,0,LAG-LAG- intra-Pop,,
add,VAR32.NYC1,ae0,SDR2.NYC1,ae3,Intra-Pop,0,0,LAG-LAG- intra-Pop,,
add,ES31.NYC1,gig-0/0/0,VAR31.NYC1,gig-0/0/2,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES31.NYC1,gig-0/0/1,VAR31.NYC1,gig-0/0/3,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES32.NYC1,gig-0/0/0,VAR32.NYC1,gig-0/0/2,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES32.NYC1,gig-0/0/1,VAR32.NYC1,gig-0/0/3,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES33.NYC1,gig-0/0/0,VAR31.NYC1,gig-0/0/4,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES33.NYC1,gig-0/0/1,VAR31.NYC1,gig-0/0/5,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES34.NYC1,gig-0/0/0,VAR32.NYC1,gig-0/0/4,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES34.NYC1,gig-0/0/1,VAR32.NYC1,gig-0/0/5,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES31.NYC1,ae0,VAR31.NYC1,ae2,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES32.NYC1,ae0,VAR32.NYC1,ae2,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES33.NYC1,ae0,VAR31.NYC1,ae3,VAR-ES,0,0,LAG-LAG- VAR-ES,,
add,ES34.NYC1,ae0,VAR32.NYC1,ae3,VAR-ES,0,0,LAG-LAG- VAR-ES,,
